DATE,CUSR0000SEHA
2000-01-01,180.900
2000-02-01,181.300
2000-03-01,181.900
2000-04-01,182.300
2000-05-01,182.800
2000-06-01,183.400
2000-07-01,184.100
2000-08-01,184.800
2000-09-01,185.400
2000-10-01,186.100
2000-11-01,186.700
2000-12-01,187.400
2001-01-01,188.000
2001-02-01,188.700
2001-03-01,189.500
2001-04-01,190.200
2001-05-01,191.100
2001-06-01,191.800
2001-07-01,192.500
2001-08-01,193.200
2001-09-01,194.000
2001-10-01,194.700
2001-11-01,195.400
2001-12-01,196.200
2002-01-01,196.800
2002-02-01,197.500
2002-03-01,198.100
2002-04-01,198.500
2002-05-01,198.900
2002-06-01,199.500
2002-07-01,200.000
2002-08-01,200.300
2002-09-01,200.800
2002-10-01,201.300
2002-11-01,201.900
2002-12-01,202.400
2003-01-01,203.200
2003-02-01,203.500
2003-03-01,204.000
2003-04-01,204.500
2003-05-01,205.000
2003-06-01,205.300
2003-07-01,205.800
2003-08-01,206.200
2003-09-01,206.700
2003-10-01,206.900
2003-11-01,207.400
2003-12-01,207.700
2004-01-01,208.100
2004-02-01,208.600
2004-03-01,209.100
2004-04-01,209.700
2004-05-01,210.300
2004-06-01,210.900
2004-07-01,211.400
2004-08-01,212.000
2004-09-01,212.500
2004-10-01,212.800
2004-11-01,213.100
2004-12-01,213.700
2005-01-01,214.300
2005-02-01,214.900
2005-03-01,215.400
2005-04-01,216.000
2005-05-01,216.500
2005-06-01,217.000
2005-07-01,217.700
2005-08-01,218.100
2005-09-01,218.700
2005-10-01,219.300
2005-11-01,219.900
2005-12-01,220.300
2006-01-01,220.800
2006-02-01,221.500
2006-03-01,222.200
2006-04-01,222.900
2006-05-01,223.700
2006-06-01,224.600
2006-07-01,225.400
2006-08-01,226.300
2006-09-01,227.200
2006-10-01,228.000
2006-11-01,228.800
2006-12-01,229.800
2007-01-01,230.547
2007-02-01,231.546
2007-03-01,232.349
2007-04-01,232.960
2007-05-01,233.656
2007-06-01,234.283
2007-07-01,234.996
2007-08-01,235.524
2007-09-01,236.239
2007-10-01,237.180
2007-11-01,238.063
2007-12-01,238.873
2008-01-01,239.517
2008-02-01,240.080
2008-03-01,240.680
2008-04-01,241.437
2008-05-01,241.927
2008-06-01,242.882
2008-07-01,243.675
2008-08-01,244.475
2008-09-01,245.175
2008-10-01,245.914
2008-11-01,246.556
2008-12-01,246.992
2009-01-01,247.563
2009-02-01,247.994
2009-03-01,248.396
2009-04-01,248.837
2009-05-01,249.204
2009-06-01,249.381
2009-07-01,249.343
2009-08-01,249.359
2009-09-01,249.261
2009-10-01,248.959
2009-11-01,248.778
2009-12-01,248.667
2010-01-01,248.721
2010-02-01,248.717
2010-03-01,248.854
2010-04-01,248.962
2010-05-01,249.066
2010-06-01,249.327
2010-07-01,249.458
2010-08-01,249.346
2010-09-01,249.663
2010-10-01,249.660
2010-11-01,250.182
2010-12-01,250.641
2011-01-01,251.142
2011-02-01,251.516
2011-03-01,251.905
2011-04-01,252.203
2011-05-01,252.584
2011-06-01,252.986
2011-07-01,253.423
2011-08-01,254.295
2011-09-01,254.895
2011-10-01,255.651
2011-11-01,256.207
2011-12-01,256.800
2012-01-01,257.267
2012-02-01,257.842
2012-03-01,258.335
2012-04-01,258.977
2012-05-01,259.481
2012-06-01,259.893
2012-07-01,260.476
2012-08-01,260.999
2012-09-01,261.620
2012-10-01,262.631
2012-11-01,263.137
2012-12-01,263.669
2013-01-01,264.245
2013-02-01,264.904
2013-03-01,265.603
2013-04-01,266.094
2013-05-01,266.841
2013-06-01,267.451
2013-07-01,267.870
2013-08-01,268.837
2013-09-01,269.315
2013-10-01,269.822
2013-11-01,270.387
2013-12-01,271.220
2014-01-01,271.918
2014-02-01,272.461
2014-03-01,273.341
2014-04-01,274.255
2014-05-01,275.013
2014-06-01,275.819
2014-07-01,276.663
2014-08-01,277.319
2014-09-01,278.149
2014-10-01,278.797
2014-11-01,279.758
2014-12-01,280.383
2015-01-01,281.223
2015-02-01,282.171
2015-03-01,283.056
2015-04-01,283.786
2015-05-01,284.559
2015-06-01,285.477
2015-07-01,286.435
2015-08-01,287.320
2015-09-01,288.385
2015-10-01,289.236
2015-11-01,289.953
2015-12-01,290.723
2016-01-01,291.700
2016-02-01,292.617
2016-03-01,293.471
2016-04-01,294.397
2016-05-01,295.371
2016-06-01,296.306
2016-07-01,297.192
2016-08-01,298.029
2016-09-01,299.035
2016-10-01,300.215
2016-11-01,301.223
2016-12-01,302.271
2017-01-01,303.156
2017-02-01,304.060
2017-03-01,304.888
2017-04-01,305.692
2017-05-01,306.720
2017-06-01,307.681
2017-07-01,308.490
2017-08-01,309.608
2017-09-01,310.346
2017-10-01,311.330
2017-11-01,312.295
2017-12-01,313.462
2018-01-01,314.500
2018-02-01,315.142
2018-03-01,315.904
2018-04-01,316.955
2018-05-01,317.803
2018-06-01,318.634
2018-07-01,319.661
2018-08-01,320.777
2018-09-01,321.618
2018-10-01,322.483
2018-11-01,323.620
2018-12-01,324.401
2019-01-01,325.322
2019-02-01,326.231
2019-03-01,327.527
2019-04-01,328.835
2019-05-01,329.610
2019-06-01,330.937
2019-07-01,331.911
2019-08-01,332.782
2019-09-01,333.928
2019-10-01,334.554
2019-11-01,335.478
2019-12-01,336.396
2020-01-01,337.570
2020-02-01,338.498
2020-03-01,339.510
2020-04-01,340.264
2020-05-01,341.067
2020-06-01,341.558
2020-07-01,342.262
2020-08-01,342.630
2020-09-01,343.002
2020-10-01,343.495
2020-11-01,343.708
2020-12-01,344.078
2021-01-01,344.507
2021-02-01,345.121
2021-03-01,345.684
2021-04-01,346.379
2021-05-01,347.253
2021-06-01,348.095
2021-07-01,348.789
2021-08-01,349.938
2021-09-01,351.355
2021-10-01,352.762
2021-11-01,354.191
2021-12-01,355.544
2022-01-01,357.476
2022-02-01,359.501
2022-03-01,361.050
2022-04-01,363.067
